# Case table for substrate/.github/workflows/rust-auto-release.yml
#
# TAB-separated: <name> <context k=v;k=v> <expect-run csv> <expect-skip csv>
#
# WHAT THIS PINS. Five jobs — bump, waiver, test, ship, drip — and the two
# PUBLISH paths among them (ship on a fresh bump, drip on the complement).
# Row 3 is why the file exists: on 2026-08-08 pleme-io/graphql-synthesizer ran
# this family's sibling, reported SUCCESS, bumped + tagged + pushed, and
# published nothing, because it is private and BOTH publish paths carry
# `&& !github.event.repository.private`. That is the intended privacy posture
# (publishing from a private repo leaks code to crates.io and undoes yanks) and
# it is correct. What was missing is that nobody had written it down as an
# expectation, so a deliberate no-publish and a broken no-publish were the same
# green tick. Now it is asserted, and a future edit that drops the guard turns
# row 3 red instead of quietly publishing a private crate.
#
# EVERY context path any condition touches is declared in EVERY row, by design:
# an undeclared path is an ERROR in this linter rather than an empty default,
# because a silently-defaulted path turns an incomplete case into a confident
# verdict. The eight paths this workflow reads are github.actor,
# github.event_name, github.event.repository.private, inputs.require-tests,
# needs.bump.outputs.bumped, needs.bump.result, needs.test.result, and always().
#
# An EMPTY value (`needs.bump.outputs.bumped=`) models a SKIPPED upstream job,
# which is a distinct state from 'false' — rows 4 and 5 depend on that
# distinction, since a skipped bump publishes nothing by either path.
#
# `waiver` HAS NO JOB-LEVEL `if:` — it selects unconditionally, deliberately, so
# that `require-tests: false` costs a visible job rather than passing silently.
# Its gate is a STEP-level `if:`, which this linter does not model. So `waiver`
# in expect-run asserts only that the job is reached; it does NOT assert that
# the typed-reason check inside it fires. Do not read row 7 as coverage of that.

# ── The two happy paths: exactly one publisher fires, never both, never neither.
public-bump-ships	github.actor=human;github.event_name=push;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=true;needs.bump.result=success;needs.test.result=success;always()=true	bump,waiver,test,ship	drip

# No source change since the last tag ⇒ no bump ⇒ ship is skipped and NOTHING
# would assert anything about the registry. drip is the complement that closes
# that green-by-omission hole (workflow comment, 2026-07-30).
public-no-bump-drips	github.actor=human;github.event_name=push;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=false;needs.bump.result=success;needs.test.result=success;always()=true	bump,waiver,test,drip	ship

# ── THE ONE THAT WAS SILENT. A private repo publishes by NEITHER path, on
# purpose. bump+tag still run: private repos get versioned, just not published.
private-bump-publishes-nothing	github.actor=human;github.event_name=push;github.event.repository.private=true;inputs.require-tests=true;needs.bump.outputs.bumped=true;needs.bump.result=success;needs.test.result=success;always()=true	bump,waiver,test	ship,drip

# The bot must not re-trigger itself, so bump is skipped. Unlike the cargo
# sibling, drip does NOT pick this run up: its third arm requires
# needs.bump.result == 'success', and a skipped bump is not a success. A
# bot-actor push therefore publishes nothing here — asserted, not assumed.
bot-actor-no-loop	github.actor=github-actions[bot];github.event_name=push;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=;needs.bump.result=skipped;needs.test.result=success;always()=true	waiver,test	bump,ship,drip

# The drip's own trigger. bump is skipped on schedule by its own `if:` (a
# capacity-ride must never bump/tag); always() is what keeps drip alive past
# that skipped dependency, and `test` carries no `needs: bump` precisely so the
# gate still runs here rather than being satisfied by a skip.
scheduled-tick	github.actor=human;github.event_name=schedule;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=;needs.bump.result=skipped;needs.test.result=success;always()=true	waiver,test,drip	bump,ship

# Operator-forced catch-up with nothing new to bump: the resume hand-off for a
# backlog a cancelled or deferred ship stranded, with no fake source change.
dispatch-no-bump-drips	github.actor=human;github.event_name=workflow_dispatch;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=false;needs.bump.result=success;needs.test.result=success;always()=true	bump,waiver,test,drip	ship

# ── The publish gate, both directions.
#
# Gate ON, tests RED: neither publisher may fire. `test` is still SELECTED here
# — this linter models which jobs are reached, not their outcome — so ship's
# `needs:` are met and the block comes from ship's own explicit
# `needs.test.result == 'success'` clause, which is exactly why that clause is
# written out rather than left to `needs:`.
test-fails-blocks-both-publishers	github.actor=human;github.event_name=push;github.event.repository.private=false;inputs.require-tests=true;needs.bump.outputs.bumped=true;needs.bump.result=success;needs.test.result=failure;always()=true	bump,waiver,test	ship,drip

# Gate OFF (require-tests: false). This row RECORDS THE MODEL for the
# `pending-release-path: waiver-arm reachability` note in the workflow: ship
# names no status function, so GitHub's default success() still applies on top
# of its `if:`, a skipped `test` does not satisfy it, and ship's second arm
# (`inputs.require-tests == false && needs.test.result == 'skipped'`) is
# therefore UNREACHABLE. The linter agrees with that reading. It is a model, not
# a live experiment — 0 of the 52 consumers set require-tests, so nothing has
# exercised it either way. If a throwaway-repo experiment ever contradicts this
# row, the workflow is what changed meaning, and this row is where you find out.
gate-off-ship-waiver-arm-is-unreachable	github.actor=human;github.event_name=push;github.event.repository.private=false;inputs.require-tests=false;needs.bump.outputs.bumped=true;needs.bump.result=success;needs.test.result=skipped;always()=true	bump,waiver	test,ship,drip
